,Sentinel-2,,,Modis,,,Temperature-Celsius,,,Precipitation-mm,,
week_start,snow_km2 - above 1200,snow_km2 - between 1200 - 1800,snow_km2 - above 1800,snow_km2 - above 1200,snow_km2 - between 1200 - 1800,snow_km2 - above 1800,Temp- 1200,Temp-1200-1800,Temp-1800,precipitation-1200,precipitation-1200-1800,precipitation-1800
11/03/2017,0,0,0,45.364,21.233,268.555,8.707267939,5.021163867,2.897503032,599.1050176,542.2248924,479.4554139
18/03/2017,0,0,0,2.302,11.236,418.754,10.41752932,7.26771073,5.184229036,87.45732824,122.0998763,128.6645572
25/03/2017,0,0,0,1.15,6.281,283.631,11.71868862,8.668610081,6.459810021,64.25504128,94.27299056,114.4821281
01/04/2017,383.7417876,97.14646423,286.5953234,1.323,0.761,188.484,12.61315961,9.268812754,7.126741974,178.4329052,147.6620914,142.8143508
08/04/2017,4.684242526,0,4.684242526,0.425,0.648,79.499,13.67132526,10.51784182,8.684647266,231.5156106,299.7316302,281.5536175
15/04/2017,81.04067012,0.704891572,80.33577855,0.104,0.039,62.946,14.32742306,11.54326269,9.358766121,64.78248184,74.44688702,85.34518961
22/04/2017,0,0,0,0,0.002,38.505,16.29432313,13.69166607,11.86340679,12.27140136,16.20973896,19.59742727
29/04/2017,60.70608717,20.22077558,40.48531159,0.058,0.362,24.702,16.96666862,14.49470551,12.23154186,86.22346377,119.3742226,142.0414515
06/05/2017,19.75902226,0,19.75902226,0,0,11.982,19.46562826,17.12572968,15.11053794,5.164413037,4.307122125,7.055658632
13/05/2017,5.315612122,1.513596389,3.802015734,0,0,4.806,21.00388387,19.16353403,17.25390156,29.301405,39.45688367,54.45379701
20/05/2017,10.80076315,0,10.80076315,0,0.004,1.995,16.46536977,13.45226519,11.59689008,147.3097879,143.8136996,105.7262288
27/05/2017,0.23802088,0.134990653,0.103030227,0,0.003,0.031,19.15051363,16.57755772,14.54311166,4.221936422,2.604248624,5.325768599
03/06/2017,0,0,0,0,0,0,22.87203196,21.17762044,19.3995059,5.013800728,6.845749081,11.26638603
10/06/2017,0,0,0,0.011,0,0.159,21.68983633,19.95480311,18.35921606,7.035737568,9.37165839,11.02847804
17/06/2017,1.075891639,0.067385907,1.008505732,0.07,0,0,21.22826144,18.74200983,17.08174591,12.12883598,8.113456545,11.32254369
24/06/2017,0,0,0,0,0,0,25.15149798,23.68804855,22.02908588,0.207331894,0.06954661,0.066938712
01/07/2017,0,0,0,0,0,0,27.14619664,25.9748483,24.23173961,2.257600778,0.544346738,0.344647932
08/07/2017,0,0,0,0,0,0,26.26190742,24.36711537,22.46363692,0.405279227,0.300746451,0.377007192
15/07/2017,1.249110288,0.129990982,1.119119306,0,0,0,26.22789452,24.93916148,23.4365424,1.041477262,1.276941065,1.618693249
22/07/2017,0,0,0,0,0.006,0,26.37612657,24.95217831,23.3962434,0.794758686,0.104502293,0.082746802
29/07/2017,0,0,0,0,0,0,25.14587244,23.59585774,22.32278634,1.850732333,1.161109946,2.345583595
05/08/2017,0,0,0,0,0,0,25.68317601,24.55390938,23.24534849,2.863671269,1.662678278,1.811644932
12/08/2017,0,0,0,0,0,0,24.93837154,23.07141729,21.58097315,5.392987771,5.936800882,8.27826095
19/08/2017,0,0,0,0.035,0.02,0.006,24.40008663,22.72520359,21.60817944,3.094642517,1.079870616,1.20604548
26/08/2017,0.547895164,0.547895164,0,0.033,0,0,23.69922976,21.94249615,20.64335381,2.190369844,2.426994868,2.8097226
