year,week_of_year,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2017,35,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.278796383,1.29172486,1.295576085,-0.689326737,-0.695876081,-0.724906326
2017,36,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379081415,-0.665794697,1.435939736,1.467605207,1.45553963,-0.658910301,-0.69867727,-0.741988153
2017,37,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,0.990756335,1.02868364,1.047063297,-0.636272231,-0.655046478,-0.699113703
2017,38,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,0.656789406,0.683634654,0.732913411,-0.650244224,-0.643768439,-0.653465526
2017,39,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.378561041,-0.665770733,0.535245304,0.436323294,0.393796917,-0.613608812,-0.676779362,-0.701135526
2017,40,-0.485215972,-0.348455749,-0.56845063,-0.273365034,-0.360876326,-0.629938973,0.260632195,0.191739433,0.170672084,0.024669129,-0.187107283,-0.226835782
2017,41,-0.485215972,-0.348455749,-0.56845063,-0.310607847,-0.37751629,-0.665123728,0.275869152,0.18876705,0.126870874,-0.197677505,-0.190487952,-0.275815689
2017,42,-0.485215972,-0.348455749,-0.56845063,-0.316540223,-0.379117441,-0.665794697,0.25883405,0.230357441,0.20918453,-0.64615836,-0.667416642,-0.690701828
2017,43,-0.451489065,-0.28439603,-0.56845063,0.042037665,-0.373269236,-0.663727019,-0.215713767,-0.287145596,-0.280832124,1.167372433,0.768816473,0.644480233
2017,44,-0.485215972,-0.348455749,-0.56845063,-0.310788345,-0.376427507,-0.665346243,-0.328865381,-0.368381936,-0.383118816,-0.393943575,-0.472692189,-0.429477199
2017,45,-0.485215972,-0.348455749,-0.56845063,-0.316576323,-0.379117441,-0.665794697,-0.204045651,-0.233826105,-0.219300284,-0.690613462,-0.71129366,-0.746920029
2017,46,-0.485215972,-0.348455749,-0.56845063,0.015708982,-0.338380152,-0.427515374,-0.680763991,-0.735131248,-0.750924219,0.96320222,0.769265559,0.902391567
2017,47,-0.1823053,-0.347489631,0.001215215,0.298634023,-0.372716839,-0.219320078,-0.774828893,-0.82996158,-0.837440322,-0.307548763,-0.398328943,-0.427732362
2017,48,1.361646066,1.444592279,1.132316915,0.022784515,0.262531888,0.356079726,-0.86964025,-0.844088646,-0.790460589,0.915648255,1.352259666,1.44049215
2017,49,-0.485215972,-0.348455749,-0.56845063,-0.302148494,0.082090155,1.173370443,-0.873004737,-0.823144643,-0.758641833,-0.673401763,-0.699236937,-0.742939852
2017,50,0.554936604,0.600011142,0.450296281,-0.180986013,-0.307914248,-0.11806891,-0.463222664,-0.401611123,-0.369829697,-0.672542003,-0.680366851,-0.700125349
2017,51,-0.452615447,-0.341871726,-0.513567739,0.09858176,0.568323744,0.993770035,-0.905176581,-0.877932118,-0.811948456,1.335309763,1.10368143,1.044430095
2017,52,-0.45227712,-0.328296435,-0.526394461,2.842576819,-0.045385496,-0.348108332,-1.157941796,-1.157236639,-1.130147872,1.349551143,1.473816872,1.404621488
2018,1,0.160508262,-0.106961023,0.408450596,-0.242824725,-0.029414013,1.031796135,-1.106957621,-1.03914201,-0.940565677,-0.493542635,-0.452687516,-0.51344631
