week_start,snow_km2 MODIS,snow_km2 SENTI2
08/06/2024,0,0
15/06/2024,0,0
22/06/2024,0.008,0
29/06/2024,0,0
06/07/2024,0.045,0
13/07/2024,0.035,0
20/07/2024,0.083,0
27/07/2024,0,0
03/08/2024,0,0
10/08/2024,0,0
17/08/2024,0,0
24/08/2024,0,0
31/08/2024,0.124,0
07/09/2024,0,0
14/09/2024,0.042,0
21/09/2024,0.108,0
28/09/2024,0.035,0
05/10/2024,0,0
12/10/2024,0.01,0
19/10/2024,0,0
26/10/2024,0.94,0
02/11/2024,3.532,0.927
09/11/2024,6.301,0
16/11/2024,219.113,109.633
23/11/2024,214.813,42.399
30/11/2024,159.179,220.973
07/12/2024,86.054,55.829
14/12/2024,72.053,55.165
21/12/2024,233.384,217.893
28/12/2024,"1,144.91","1,171.45"
04/01/2025,664.933,677.217
11/01/2025,372.189,437.11
18/01/2025,281.165,338.267
25/01/2025,334.435,302.147
01/02/2025,545.692,0
08/02/2025,"1,685.85","2,504.31"
15/02/2025,"1,340.72","1,523.95"
22/02/2025,"1,231.61","1,506.42"
01/03/2025,822.454,3.614
08/03/2025,388.559,419.094
15/03/2025,149.971,194.798
22/03/2025,553.798,805.149
29/03/2025,50.49,48.495
05/04/2025,25.655,23.886
12/04/2025,227.267,27.774
19/04/2025,27.984,31.838
26/04/2025,11.939,2.26
03/05/2025,0.58,0
10/05/2025,0.434,0
17/05/2025,0.032,0
24/05/2025,2.426,0
31/05/2025,0,0
